x1;x2;y;normX1;normX2;normY;randX1;randX2;randY;normRandX1;normRandX2
0;2;-14;0;0;0.31818181818182;2.4891427;3.9709008;-5.3940213;0.24891427;0.32848346666667
1;2;-5;0.1;0;0.38636363636364;9.9638901;3.7971075;63.0952584;0.99638901;0.29951791666667
2;2;4;0.2;0;0.45454545454545;9.1154235;5.0755813;46.5097424;0.91154235;0.51259688333333
3;2;13;0.3;0;0.52272727272727;8.9752916;7.8835968;25.5924468;0.89752916;0.98059946666667
4;2;22;0.4;0;0.59090909090909;7.9873838;5.5206983;33.2415661;0.79873838;0.58678305
5;2;31;0.5;0;0.65909090909091;5.2070352;3.0080399;25.8070375;0.52070352;0.16800665
6;2;40;0.6;0;0.72727272727273;2.0816067;4.6092607;-13.5303646;0.20816067;0.43487678333333
7;2;49;0.7;0;0.79545454545455;7.6193932;6.7389907;21.4016039;0.76193932;0.78983178333333
8;2;58;0.8;0;0.86363636363636;0.043433;6.0544782;-41.9904504;0.0043433;0.67574636666667
9;2;67;0.9;0;0.93181818181818;5.0983973;7.691503;-7.9549453;0.50983973;0.94858383333333
10;2;76;1;0;1;6.0681723;3.5334395;29.8794742;0.60681723;0.25557325
0;2.5;-17.5;0;0.083333333333333;0.29166666666667;1.1273217;3.4545512;-14.0359631;0.11273217;0.2424252
1;2.5;-8.5;0.1;0.083333333333333;0.35984848484848;7.2098718;6.2637631;21.0425045;0.72098718;0.71062718333333
2;2.5;0.5;0.2;0.083333333333333;0.4280303030303;1.2683892;6.828592;-36.3846412;0.12683892;0.80476533333333
3;2.5;9.5;0.3;0.083333333333333;0.49621212121212;9.8445745;4.9781556;53.7540813;0.98445745;0.49635926666667
4;2.5;18.5;0.4;0.083333333333333;0.56439393939394;7.2537958;3.4002303;41.4825501;0.72537958;0.23337171666667
5;2.5;27.5;0.5;0.083333333333333;0.63257575757576;8.2484273;6.3306115;29.9215652;0.82484273;0.72176858333333
6;2.5;36.5;0.6;0.083333333333333;0.70075757575758;5.3288964;6.4183104;3.0318948;0.53288964;0.73638506666667
7;2.5;45.5;0.7;0.083333333333333;0.76893939393939;2.3436546;4.5825128;-10.9846982;0.23436546;0.4304188
8;2.5;54.5;0.8;0.083333333333333;0.83712121212121;7.1698454;2.1986229;49.1382483;0.71698454;0.033103816666667
9;2.5;63.5;0.9;0.083333333333333;0.90530303030303;0.1720184;3.4261283;-22.4347325;0.01720184;0.23768805
10;2.5;72.5;1;0.083333333333333;0.97348484848485;2.0111049;3.352175;-5.3652809;0.20111049;0.2253625
0;3;-21;0;0.16666666666667;0.26515151515152;6.7256484;7.7782989;6.0827433;0.67256484;0.96304981666667
1;3;-12;0.1;0.16666666666667;0.33333333333333;0.1519429;6.0614489;-41.0626562;0.01519429;0.67690815
2;3;-3;0.2;0.16666666666667;0.40151515151515;6.3879618;5.1502042;21.4402268;0.63879618;0.52503403333333
